freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-95,39,74,380,9,62,52,-8.916122
2412,-95,50,75,379,7,61,54,-5.961777
2412,-95,57,74,379,12,61,53,0.867393
2412,-95,56,76,378,9,60,53,3.266708
2412,-95,85,76,377,4,60,53,-18.594742
2412,-95,46,76,377,7,62,54,-13.062279
2412,-95,74,75,378,10,60,53,-7.314987
2412,-95,44,72,381,14,60,48,3.763359
2412,-95,67,75,378,7,60,53,-2.784378
2412,-95,60,77,377,6,61,55,-18.731216
2412,-95,64,77,376,8,60,55,-6.436974
2412,-95,45,75,378,7,60,52,-0.678978
2412,-95,60,74,380,13,62,53,-0.780342
2412,-95,55,75,379,9,61,53,-5.396484
2412,-95,46,76,377,9,63,54,-5.936905
2412,-95,53,73,381,8,60,51,-9.141434
2412,-95,43,75,378,8,61,53,-3.800941
2412,-95,77,76,377,6,59,53,-16.988533
2412,-95,43,74,379,10,63,53,-2.543060
2412,-95,60,75,378,10,60,52,-8.129135
2412,-95,40,75,378,5,61,53,-13.409424
2412,-95,37,73,380,13,62,52,2.488480
2412,-95,64,74,380,7,60,52,-3.690094
2412,-95,48,75,378,8,60,53,-6.183014
2412,-95,38,72,382,11,61,50,-0.003708
2412,-95,44,74,379,11,63,53,2.503311
2412,-95,64,75,379,8,61,53,-4.742859
2412,-95,57,74,379,7,61,52,-19.020599
2412,-95,43,74,380,11,0,53,-4.776352
2412,-95,51,75,379,9,61,54,-0.439888
2412,-95,65,75,378,7,62,53,-8.479286
2412,-95,42,75,379,10,60,52,-2.211243
2412,-95,53,75,379,10,59,52,-1.338936
2412,-95,62,77,377,7,61,55,-2.935173
2412,-95,51,76,377,6,60,53,-7.705544
2412,-95,67,76,378,7,61,54,-1.035217
2412,-95,49,75,378,9,62,53,-0.130280
2412,-95,45,75,378,10,62,53,-2.539299
2412,-95,50,76,378,9,60,54,4.337364
2412,-95,57,75,378,9,59,52,-0.631973
2412,-95,55,76,378,9,61,54,-20.185547
2412,-95,45,74,380,11,63,53,-1.360893
2412,-95,62,76,377,7,60,53,-9.127838
2412,-95,80,77,376,8,62,55,-0.781609
2412,-95,41,74,380,10,62,53,-3.823776
