freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-95,41,80,374,2,1,56,-24.322037
2412,-95,42,80,373,0,3,58,-10.667816
2412,-95,31,78,375,2,2,56,-15.008957
2412,-95,46,80,374,1,2,57,-12.480957
2412,-95,51,78,376,1,1,57,-19.159882
2412,-95,43,78,375,1,2,56,-10.043259
2412,-95,29,80,373,0,2,57,-21.650963
2412,-95,39,81,373,0,3,59,-19.384079
2412,-95,53,80,373,0,1,57,-inf
2412,-95,43,81,373,0,3,59,-17.929626
2412,-95,52,79,374,1,2,56,-11.787537
2412,-95,54,80,373,1,2,59,-21.714058
2412,-95,41,81,373,255,2,58,236.035950
2412,-95,49,81,373,0,2,59,-13.189034
2412,-95,42,79,375,0,0,55,-20.255615
2412,-95,35,81,373,1,2,57,-15.444588
2412,-95,39,80,374,0,3,57,-19.546280
2412,-95,35,80,373,0,1,57,-13.546844
2412,-95,39,80,373,0,2,57,-21.854004
2412,-95,47,81,373,255,2,58,227.321014
2412,-95,35,80,373,1,63,55,-10.259247
2412,-95,39,81,373,1,3,59,-8.913734
2412,-95,36,78,375,2,2,55,-12.956291
2412,-95,35,79,374,255,2,56,238.220383
2412,-95,31,79,374,0,2,56,-18.803558
2412,-95,26,80,374,1,2,57,-18.046074
2412,-95,44,80,373,0,1,55,-11.151016
2412,-95,40,80,373,0,1,57,-11.172905
2412,-95,46,81,373,255,3,58,245.434906
2412,-95,53,81,373,0,2,58,-19.051956
2412,-95,43,80,374,1,63,56,-21.528534
2412,-95,35,77,376,3,1,53,-9.587051
2412,-95,38,80,374,1,1,57,-18.385193
2412,-95,38,79,374,255,0,55,240.769211
2412,-95,34,80,374,0,1,56,-13.488892
2412,-95,48,81,373,254,1,57,225.531982
2412,-95,33,79,375,1,2,57,-9.035309
2412,-95,45,79,375,1,2,57,-11.629807
2412,-95,34,80,374,0,2,57,-11.431808
2412,-95,34,79,374,1,0,56,-19.396622
2412,-95,27,78,375,1,2,55,-9.247238
2412,-95,34,80,373,255,1,57,238.730499
2412,-95,38,79,374,1,1,56,-16.285156
2412,-95,45,81,373,255,3,58,243.375641
2412,-95,52,80,373,0,3,58,-14.819199
2412,-95,42,80,373,255,2,58,237.942963
2412,-95,31,80,373,1,1,56,-25.810150
2412,-95,35,80,374,1,2,57,-13.186691
2412,-95,38,78,375,0,63,54,-10.751816
2412,-95,37,81,373,0,2,58,-15.465118
2412,-95,27,78,375,2,1,54,-9.600716
2412,-95,36,81,373,0,2,58,-13.796127
2412,-95,40,80,373,0,3,57,-21.416458
2412,-95,56,81,373,0,2,57,-12.512665
2412,-95,42,79,374,2,2,57,-16.314430
2412,-95,42,81,373,0,1,59,-17.095612
2412,-95,41,80,374,0,1,58,-17.533798
2412,-95,45,79,375,2,2,57,-13.710663
2412,-95,56,81,373,1,3,58,-11.201614
2412,-95,27,78,376,1,1,55,-14.990334
2412,-95,48,80,373,0,2,57,-9.072029
2412,-95,33,79,375,1,1,56,-21.939758
2412,-95,27,79,375,1,0,55,-9.304901
2412,-95,51,81,373,255,1,58,232.974091
2412,-95,36,81,373,0,2,57,-11.710396
2412,-95,36,80,373,254,1,57,241.515594
2412,-95,40,80,373,1,1,56,-19.709610
2412,-95,38,81,373,254,1,58,234.860382
2412,-95,42,80,374,0,1,57,-10.938858
2412,-95,56,81,373,0,3,59,-18.480927
2412,-95,45,80,374,0,2,58,-11.299759
2412,-95,37,77,376,3,0,54,-7.497948
2412,-95,59,81,373,254,3,58,239.969223
2412,-95,28,77,376,2,2,53,-inf
2412,-95,24,77,376,1,63,53,-19.104881
2412,-95,25,80,373,1,2,57,-11.381912
2412,-95,40,81,373,1,2,58,-21.473595
2412,-95,39,80,373,1,0,56,-22.402237
2412,-95,46,80,374,1,3,57,-11.156525
2412,-95,29,78,376,2,2,56,-18.775955
2412,-95,33,79,375,1,2,57,-12.338501
2412,-95,51,80,374,2,2,57,-10.299164
2412,-95,33,79,374,1,3,57,-10.021210
2412,-95,26,79,374,2,1,56,-16.398544
2412,-95,27,79,374,1,1,55,-17.531654
2412,-95,51,81,373,1,1,57,-12.870819
2412,-95,51,80,373,1,1,56,-12.743637
2412,-95,38,81,373,0,1,57,-16.523071
2412,-95,49,81,373,255,1,58,243.808899
2412,-95,47,80,373,1,1,58,-11.329254
2412,-95,33,81,373,0,2,58,-15.352470
2412,-95,37,79,375,1,1,56,-21.637672
2412,-95,30,78,375,1,2,56,-15.359344
2412,-95,46,80,373,255,1,57,235.565063
2412,-95,27,80,374,255,1,57,221.836105
2412,-95,37,81,373,0,2,58,-12.547012
2412,-95,45,81,373,1,3,59,-12.699173
2412,-95,28,79,375,0,1,56,-12.258255
2412,-95,39,79,375,1,1,56,-9.761551
2412,-95,47,81,373,1,3,58,-11.855255
2412,-95,25,77,376,2,0,54,-16.462601
2412,-95,54,81,373,255,1,58,242.325012
2412,-95,30,78,376,2,2,54,-13.199738
2412,-95,37,80,373,255,1,57,240.948242
2412,-95,48,80,373,1,3,57,-14.698746
2412,-95,44,81,373,253,2,59,232.756042
2412,-95,28,78,376,1,2,55,-15.627579
2412,-95,33,81,373,255,3,58,237.869049
2412,-95,51,81,373,0,4,59,-16.327194
2412,-95,43,80,374,1,1,58,-13.050598
2412,-95,45,80,373,1,2,57,-12.504417
2412,-95,49,81,373,255,2,58,226.126648
2412,-95,34,80,374,2,63,55,-14.409782
2412,-95,38,81,373,255,3,58,241.716476
2412,-95,36,81,373,0,3,58,-17.427734
2412,-95,35,78,376,2,1,55,-10.928101
2412,-95,52,80,374,0,3,58,-16.618721
2412,-95,56,81,373,255,2,58,242.748749
2412,-95,42,81,373,0,0,58,-16.562180
2412,-95,51,81,373,254,3,59,235.694504
2412,-95,51,81,373,0,0,56,-33.021149
2412,-95,37,81,373,0,1,58,-9.671547
2412,-95,38,79,374,1,3,56,-7.800507
2412,-95,42,78,376,2,1,55,-14.269669
2412,-95,36,79,374,1,1,55,-12.270401
2412,-95,32,80,373,1,2,57,-20.299316
2412,-95,50,80,374,1,2,57,-26.279480
2412,-95,47,79,374,0,2,58,-21.297302
2412,-95,45,81,373,255,2,58,244.862442
2412,-95,38,81,373,0,1,58,-10.020058
2412,-95,29,80,374,1,2,57,-32.186890
2412,-95,29,78,375,1,1,55,-12.010300
2412,-95,38,78,375,2,63,54,-11.846207
2412,-95,31,81,373,0,2,58,-17.502411
2412,-95,50,81,373,254,1,58,239.742554
2412,-95,43,79,374,0,63,54,-15.196091
2412,-95,43,80,374,0,1,57,-10.893997
2412,-95,24,76,378,4,1,53,-4.147652
2412,-95,29,78,375,1,1,55,-11.340103
2412,-95,49,81,373,255,2,58,242.889603
2412,-95,50,78,375,2,3,56,-7.760880
2412,-95,42,80,374,0,0,55,-18.450981
2412,-95,53,80,374,255,1,57,231.378525
2412,-95,39,81,373,0,3,58,-9.969055
2412,-95,42,80,373,0,3,59,-8.647644
2412,-95,29,78,375,3,0,54,-5.006844
2412,-95,47,81,373,255,1,56,244.009369
2412,-95,56,79,375,1,1,57,-18.048233
2412,-95,43,78,375,1,2,57,-8.341827
2412,-95,64,81,373,255,3,58,239.855682
2412,-95,32,80,374,1,1,57,-9.626205
2412,-95,41,81,373,254,1,57,220.367645
2412,-95,57,81,373,255,2,58,241.401489
2412,-95,48,81,373,0,1,57,-20.816620
2412,-95,47,80,373,255,2,58,243.829987
2412,-95,41,79,374,1,2,56,-10.547592
2412,-95,42,80,373,3,1,57,-6.423958
2412,-95,45,81,373,0,1,57,-14.910156
2412,-95,47,79,374,0,3,57,-15.036636
2412,-95,53,80,373,1,2,57,-16.663300
2412,-95,41,81,373,0,3,58,-17.788895
2412,-95,30,80,373,2,1,56,-9.468964
2412,-95,36,80,374,1,1,58,-19.794708
2412,-95,36,80,374,0,2,58,-17.099960
2412,-95,32,78,376,1,4,57,-17.835480
2412,-95,38,80,374,2,2,58,-12.596939
2412,-95,33,79,375,3,3,58,-12.046463
2412,-95,26,78,376,0,2,55,-11.838394
