freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
5845,-102,46,71,390,15,14,55,-5.445892
2412,-95,58,74,379,1,10,50,-15.186295
2412,-95,69,74,379,1,12,51,-25.031448
2412,-95,68,74,379,254,10,51,240.502365
2412,-95,63,74,379,254,10,50,235.690903
2412,-95,61,74,379,255,13,52,237.535385
2412,-95,64,74,379,254,9,51,240.946487
2412,-95,58,74,379,254,11,51,236.399124
2412,-95,59,74,379,0,11,51,-inf
2412,-95,64,74,379,254,7,50,234.303513
2412,-95,74,74,379,0,11,51,-11.398788
2412,-95,57,74,379,255,13,51,240.747101
2412,-95,69,74,379,255,8,51,234.299622
2412,-95,57,74,379,255,10,49,235.888428
2412,-95,58,74,379,0,13,51,-25.809250
2412,-95,65,74,379,255,7,50,235.165985
2412,-95,67,74,379,255,14,51,238.299591
2412,-95,55,74,379,254,13,50,241.604507
2412,-95,56,74,379,0,6,50,-13.768051
2412,-95,64,74,379,254,13,51,233.757202
2412,-95,61,74,379,0,10,51,-11.045631
2412,-95,50,74,379,255,9,51,244.320190
2412,-95,52,74,379,255,13,50,241.152878
2412,-95,54,74,379,254,12,51,239.666306
2412,-95,66,74,379,254,9,51,242.079910
2412,-95,63,74,379,0,6,50,-25.314789
2412,-95,59,74,379,255,13,51,235.642410
2412,-95,69,74,379,254,11,51,237.860397
2412,-95,62,74,379,254,8,51,243.158203
2412,-95,58,74,379,0,13,51,-17.533272
2412,-95,65,74,379,255,10,51,241.231949
2412,-95,64,74,379,254,7,50,240.962646
2412,-95,75,74,379,254,13,51,237.435822
2412,-95,61,74,379,254,12,50,238.126633
2412,-95,63,74,379,255,6,50,242.417221
2412,-95,56,74,379,255,10,51,245.467438
2412,-95,57,74,379,0,12,51,-20.728012
2412,-95,59,74,379,0,8,51,-20.588058
2412,-95,65,74,379,254,12,51,237.207733
2412,-95,57,74,379,255,10,51,234.924652
2412,-95,63,74,379,0,7,50,-18.864906
2412,-95,57,74,379,255,13,50,235.433517
2412,-95,62,74,379,0,10,50,-11.218880
2412,-95,66,74,379,255,9,50,238.872162
2412,-95,53,74,379,255,12,52,227.724594
2412,-95,61,74,379,0,13,51,-25.797836
2412,-95,54,74,379,0,9,51,-12.304489
2412,-95,67,74,379,0,11,51,-20.691132
2412,-95,54,69,384,0,9,46,-20.718819
2412,-95,58,69,384,0,11,46,-14.313637
2412,-95,59,69,384,255,13,46,-inf
2412,-95,62,69,384,0,9,47,-11.760910
2412,-95,56,69,384,255,10,46,234.829666
2412,-95,49,69,385,255,11,45,234.914001
2412,-95,57,69,385,255,8,46,-inf
2412,-95,56,69,385,0,11,46,-19.867722
2412,-95,58,69,385,255,11,46,235.087738
2412,-95,64,69,385,255,7,47,234.665771
2412,-95,58,69,385,255,11,46,-inf
2412,-95,54,69,385,255,10,46,240.767548
2412,-95,56,69,385,255,8,47,239.590454
2412,-95,63,69,385,0,15,48,-16.309364
2412,-95,56,69,385,255,12,46,240.646332
2412,-95,69,74,379,0,6,50,-25.751877
2412,-95,59,74,380,254,14,51,242.024445
2412,-95,55,74,380,255,11,51,238.543594
2412,-95,55,74,380,254,6,50,-inf
2412,-95,58,74,380,1,12,51,-19.180763
2412,-95,46,74,380,255,10,49,238.665314
2412,-95,57,74,380,0,9,50,-25.327545
2412,-95,53,74,380,255,12,51,242.267670
2412,-95,66,74,380,0,10,51,-16.510620
2412,-95,71,74,380,255,9,50,229.485504
2412,-95,69,74,380,0,11,51,-12.335037
2412,-95,50,74,380,255,9,49,230.257843
2412,-95,61,74,380,2,10,50,-18.085999
2412,-95,72,74,380,254,13,51,240.394531
2412,-95,54,74,380,255,10,51,242.535019
2412,-95,67,74,380,255,10,51,234.383591
2412,-95,55,74,380,0,12,50,-25.390762
2412,-95,62,74,380,1,9,50,-18.554474
2412,-95,51,74,380,0,10,50,-14.011848
2412,-95,61,74,380,255,10,49,236.366776
2412,-95,57,74,380,255,7,50,240.696426
2412,-95,55,74,380,255,13,51,237.914841
2412,-95,55,74,380,254,13,51,234.000000
2412,-95,54,74,380,255,9,51,242.077438
2412,-95,57,74,380,255,11,50,239.545547
2412,-95,57,74,380,0,12,51,-20.344284
2412,-95,50,74,380,0,6,50,-19.719711
2412,-95,62,74,380,0,11,51,-19.661423
2412,-95,61,74,380,0,10,50,-15.170486
2412,-95,61,69,385,0,10,46,-14.107773
2412,-95,71,69,384,1,13,47,-inf
2412,-95,63,69,385,0,10,46,-18.864906
2412,-95,61,74,379,255,9,51,234.967545
2412,-95,59,74,379,0,12,51,-26.693169
2412,-95,57,74,379,255,10,51,243.159393
2412,-95,62,74,379,254,10,51,244.302795
2412,-95,60,74,379,255,13,50,-inf
2412,-95,60,74,379,1,10,50,-12.104279
2412,-95,68,74,379,254,10,51,227.809067
2412,-95,60,74,379,254,11,51,227.362991
2412,-95,63,74,379,255,8,50,239.253250
2412,-95,66,74,379,0,11,51,-14.222206
2412,-95,67,74,379,255,13,51,229.134125
2412,-95,58,74,379,255,11,51,238.227982
2412,-95,60,74,379,0,11,51,-10.821869
2412,-95,60,74,379,0,13,51,-10.801849
2412,-95,58,74,379,0,10,51,-27.176704
2412,-95,59,74,379,255,12,50,238.351486
2412,-95,61,74,379,254,11,51,227.716110
2412,-95,56,74,379,255,7,50,238.943359
2412,-95,62,74,379,253,12,50,237.357285
2412,-95,57,74,379,0,13,50,-11.784012
2412,-95,55,74,379,255,7,51,238.068588
2412,-95,65,74,379,255,11,50,241.600525
2412,-95,57,74,379,0,12,51,-26.674530
2412,-95,55,74,379,255,8,51,238.631775
2412,-95,70,74,379,254,9,50,241.016922
2412,-95,58,74,379,0,11,50,-13.497635
2412,-95,57,74,379,255,7,49,236.426666
2412,-95,58,74,379,0,9,50,-13.745193
2412,-95,54,74,379,0,13,51,-20.128372
2412,-95,61,74,379,255,6,50,235.744293
2412,-95,56,74,379,0,9,50,-18.779472
2412,-95,59,74,379,254,12,50,233.498138
2412,-95,58,74,379,255,6,50,238.895752
2412,-95,55,74,379,0,12,51,-26.074554
2412,-95,48,74,379,0,10,50,-19.518234
2412,-95,55,74,379,0,8,51,-11.435349
2412,-95,58,74,379,254,11,50,234.642410
2412,-95,57,74,379,255,11,51,244.553284
2412,-95,66,74,379,254,9,51,239.757309
2412,-95,63,74,379,254,13,51,237.710434
2412,-95,56,74,379,255,11,51,238.642929
2412,-95,55,74,379,0,9,51,-26.794281
2412,-95,60,74,379,255,16,51,-inf
2412,-95,61,74,379,0,11,51,-inf
2412,-95,58,74,379,255,12,51,238.238144
2412,-95,51,74,379,1,13,50,-12.424225
