freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db,snr
2412,-95,39,80,373,0,3,57,-12.343338
2412,-95,29,80,374,1,1,57,-20.589279
2412,-95,28,80,373,1,2,56,-21.845558
2412,-95,40,81,373,0,1,58,-15.658768
2412,-95,49,81,373,255,3,58,241.651184
2412,-95,43,80,374,0,3,57,-12.747688
2412,-95,23,78,375,1,1,53,-19.783760
2412,-95,38,81,373,254,2,57,241.188721
2412,-95,53,81,373,0,3,58,-18.322479
2412,-95,33,79,375,255,0,55,242.823547
2412,-95,36,79,374,0,2,56,-20.504280
2412,-95,58,81,373,0,2,57,-9.716095
2412,-95,44,79,374,255,1,55,228.617599
2412,-95,46,80,373,255,2,56,242.221619
2412,-95,52,81,373,1,0,56,-inf
2412,-95,29,79,374,255,1,56,234.635712
2412,-95,38,81,373,255,2,57,236.753677
2412,-95,41,80,374,0,2,57,-13.326889
2412,-95,39,80,374,0,63,56,-20.769135
2412,-95,48,81,373,0,4,58,-11.266724
2412,-95,76,81,373,0,2,58,-10.033798
2412,-95,51,80,373,0,2,57,-8.372726
2412,-95,44,81,373,255,3,58,242.901367
2412,-95,53,81,373,255,3,58,237.903503
2412,-95,34,80,374,1,2,57,-14.689346
2412,-95,34,81,373,255,2,57,239.966980
2412,-95,41,79,374,2,3,55,-8.488335
2412,-95,43,81,373,0,1,58,-16.317291
2412,-95,41,81,373,254,3,58,241.102951
2412,-95,34,80,373,1,1,57,-15.221924
2412,-95,38,80,374,1,1,56,-22.463531
2412,-95,55,81,373,0,3,57,-10.801033
2412,-95,42,81,373,0,3,58,-15.109741
2412,-95,47,81,373,255,1,57,235.755142
2412,-95,45,81,373,0,3,59,-12.291977
2412,-95,37,80,373,0,3,57,-8.823273
2412,-95,34,81,373,255,2,57,240.625671
2412,-95,60,81,373,255,4,59,236.188370
2412,-95,54,80,373,1,2,57,-16.295944
2412,-95,29,81,373,255,2,57,235.523697
2412,-95,41,80,373,0,2,57,-26.946053
2412,-95,32,80,374,0,1,57,-14.880630
2412,-95,55,79,374,1,2,56,-14.440674
2412,-95,46,81,373,254,3,58,229.033768
2412,-95,46,79,374,2,1,57,-18.672569
2412,-95,34,79,374,1,1,55,-18.037682
2412,-95,47,81,373,255,2,57,240.038223
2412,-95,30,79,375,0,1,55,-13.340561
2412,-95,35,81,373,1,3,59,-15.289558
2412,-95,48,79,374,1,3,57,-inf
2412,-95,38,80,374,255,1,55,240.366669
2412,-95,36,81,373,0,2,58,-25.263390
2412,-95,55,81,373,1,1,57,-16.611343
2412,-95,47,81,373,0,0,58,-9.120201
2412,-95,31,80,373,255,3,56,244.534012
2412,-95,54,81,373,0,2,59,-15.884445
2412,-95,49,80,373,1,1,57,-10.208069
2412,-95,55,81,373,0,2,57,-19.622742
2412,-95,41,79,374,1,2,55,-18.223358
2412,-95,53,81,373,255,0,57,245.040909
2412,-95,72,81,373,0,3,58,-19.673607
2412,-95,41,79,375,0,2,56,-11.427826
2412,-95,38,78,375,1,0,55,-14.672226
2412,-95,60,81,373,0,2,57,-20.097908
2412,-95,39,80,374,0,2,56,-10.381577
2412,-95,47,80,374,0,2,57,-10.099228
2412,-95,25,79,374,0,3,56,-32.803505
2412,-95,47,81,373,1,5,59,-15.080978
2412,-95,49,81,373,0,1,57,-18.078728
2412,-95,43,81,373,254,1,57,231.901489
2412,-95,39,80,374,255,2,56,237.483780
2412,-95,46,80,374,255,2,57,241.873993
2412,-95,35,81,373,255,3,58,226.163391
2412,-95,35,79,375,0,1,55,-12.516830
2412,-95,46,80,373,0,2,56,-13.211838
2412,-95,59,81,373,0,3,59,-17.563507
2412,-95,50,80,373,1,2,57,-14.952209
2412,-95,47,81,373,254,2,57,239.784775
2412,-95,57,81,373,255,2,57,239.594360
2412,-95,41,80,373,255,2,57,240.883804
2412,-95,42,81,373,254,2,58,239.089188
2412,-95,41,80,374,0,3,57,-15.985001
2412,-95,41,80,374,0,1,56,-15.525162
2412,-95,56,81,373,254,2,57,234.226425
2412,-95,51,81,373,0,2,58,-19.087830
2412,-95,30,80,373,1,0,57,-17.260742
2412,-95,51,80,374,0,3,57,-13.829170
2412,-95,37,79,374,1,2,56,-17.403564
2412,-95,37,79,374,2,0,55,-23.837654
2412,-95,51,81,373,255,0,57,240.344696
2412,-95,50,80,373,0,1,56,-33.163895
2412,-95,64,81,373,255,1,59,241.777802
2412,-95,40,81,373,0,2,57,-20.374268
2412,-95,59,81,373,0,1,56,-10.951340
2412,-95,51,80,374,255,0,57,245.009659
2412,-95,48,81,373,255,0,56,243.135056
2412,-95,49,81,373,255,2,58,237.710663
2412,-95,30,79,374,1,0,55,-11.591156
2412,-95,44,81,373,255,2,58,240.715408
2412,-95,35,80,373,0,0,55,-11.705551
2412,-95,42,81,373,0,0,57,-15.480324
2412,-95,42,79,374,0,3,56,-17.070969
2412,-95,35,81,373,255,1,56,244.474701
2412,-95,42,79,374,0,1,56,-15.501038
2412,-95,49,81,373,255,3,59,236.218781
2412,-95,46,81,373,255,1,57,239.944260
2412,-95,47,81,373,0,3,57,-12.012833
2412,-95,61,81,373,255,2,58,244.347107
2412,-95,48,80,374,254,1,56,236.725494
2412,-95,50,81,373,0,1,56,-15.021713
2412,-95,43,80,374,0,2,57,-27.359978
2412,-95,37,80,373,1,2,57,-13.474686
2412,-95,49,81,373,0,1,57,-14.002922
2412,-95,51,80,374,1,2,57,-13.413750
2412,-95,37,79,375,0,1,56,-11.909103
2412,-95,45,79,374,0,2,56,-20.809875
2412,-95,54,80,374,0,2,57,-15.844238
2412,-95,35,80,373,255,0,56,237.473114
2412,-95,41,81,373,0,2,57,-15.856369
2412,-95,59,81,373,255,3,57,234.980927
2412,-95,29,80,374,0,1,57,-19.822708
2412,-95,49,81,373,0,3,58,-16.856506
2412,-95,47,81,373,254,1,57,245.641922
2412,-95,46,80,374,0,0,57,-16.213455
2412,-95,38,80,374,1,3,58,-15.216309
2412,-95,49,80,374,1,1,56,-11.885193
2412,-95,52,81,373,0,1,58,-10.112198
2412,-95,51,81,373,254,2,57,236.357407
2412,-95,60,81,373,255,3,57,244.027359
2412,-95,47,80,374,0,63,56,-13.506302
2412,-95,56,80,373,0,3,57,-13.944519
2412,-95,59,80,373,255,3,58,243.010498
2412,-95,34,81,373,255,1,58,232.387375
2412,-95,55,80,374,0,3,57,-23.998657
2412,-95,39,79,374,2,2,56,-15.240479
2412,-95,47,81,373,255,0,57,226.872528
2412,-95,43,79,375,1,4,57,-10.911087
2412,-95,26,80,374,1,2,56,-9.957016
2412,-95,44,80,373,0,0,56,-26.748611
2412,-95,49,81,373,255,2,57,238.022736
2412,-95,33,80,373,255,2,57,242.395630
2412,-95,43,78,375,1,3,56,-13.990128
2412,-95,34,80,373,255,1,56,237.964691
2412,-95,46,80,374,255,2,57,238.593765
2412,-95,34,80,374,255,3,57,242.144989
2412,-95,41,81,373,255,3,58,234.817993
2412,-95,47,80,373,255,3,57,235.659058
2412,-95,53,81,373,1,3,58,-21.036110
2412,-95,43,81,373,255,2,58,243.010345
2412,-95,28,79,375,2,0,55,-14.292397
2412,-95,44,80,373,255,3,56,231.228149
2412,-95,50,81,373,0,1,57,-21.959000
2412,-95,49,80,374,255,1,56,240.439667
2412,-95,32,79,374,1,1,55,-12.488525
2412,-95,49,80,373,0,1,56,-14.968002
2412,-95,51,80,373,0,2,57,-8.709343
2412,-95,40,80,374,254,2,56,233.313507
2412,-95,61,81,373,0,2,57,-10.970871
2412,-95,40,80,373,255,1,56,242.894226
2412,-95,47,80,373,2,1,56,-18.283676
2412,-95,27,80,373,0,2,56,-12.697464
2412,-95,37,79,374,1,1,56,-10.789536
2412,-95,51,81,373,255,3,58,226.441772
2412,-95,41,81,373,0,3,59,-17.501228
2412,-95,56,81,373,0,0,57,-13.500542
2412,-95,49,81,373,0,1,56,-10.213120
2412,-95,39,80,374,1,2,57,-13.141472
2412,-95,47,79,375,0,0,56,-20.445892
2412,-95,44,80,374,0,3,57,-19.308472
2412,-95,43,78,376,1,2,55,-20.669891
2412,-95,74,81,373,0,1,58,-16.836349
2412,-95,59,80,373,0,4,58,-14.731949
2412,-95,44,80,373,0,2,57,-10.734192
2412,-95,45,79,374,2,1,55,-24.304276
2412,-95,56,81,373,255,2,58,238.286255
2412,-95,64,81,373,0,2,58,-24.223343
2412,-95,45,81,373,0,2,58,-16.116241
2412,-95,34,80,374,1,2,56,-25.306824
2412,-95,41,81,373,255,1,57,237.144714
2412,-95,34,80,374,1,2,57,-18.444824
2412,-95,53,81,373,255,1,57,233.399445
2412,-95,37,80,373,0,2,56,-15.993927
2412,-95,63,81,373,0,3,58,-13.393959
2412,-95,57,80,373,255,2,56,222.404053
2412,-95,52,79,375,0,2,56,-10.729256
2412,-95,32,81,373,1,3,58,-15.281998
2412,-95,38,81,373,0,3,58,-15.720963
2412,-95,42,80,374,0,2,57,-21.524796
2412,-95,34,81,373,0,1,57,-21.480629
2412,-95,51,80,374,1,2,56,-16.737862
2412,-95,37,78,375,1,1,55,-11.046631
2412,-95,48,80,373,0,3,57,-19.811844
2412,-95,45,81,373,0,2,57,-19.885590
2412,-95,29,79,375,0,1,55,-18.053650
2412,-95,45,80,373,1,2,57,-16.438583
2412,-95,43,80,373,0,3,57,-12.086205
2412,-95,52,81,373,0,63,57,-10.507660
2412,-95,58,80,373,255,2,56,241.546631
2412,-95,71,81,373,255,4,58,239.512085
2412,-95,47,80,374,0,0,56,-15.301735
2412,-95,35,80,374,0,2,56,-8.366440
2412,-95,36,80,373,1,1,56,-15.440002
2417,-97,41,72,383,6,59,51,-inf
2417,-97,40,75,380,4,59,53,-9.424225
2417,-97,45,75,381,5,58,53,-8.193375
2417,-97,56,75,381,5,56,52,-18.478180
2417,-97,71,75,381,5,58,53,-11.182571
2417,-97,57,73,383,3,58,51,-15.580017
2417,-97,53,74,382,5,57,52,-23.767952
2417,-97,38,74,381,4,58,53,-19.349564
2417,-97,52,77,378,4,58,55,-7.527435
2417,-97,64,76,379,3,58,54,-13.458145
2417,-97,44,75,380,4,57,52,-11.073158
2417,-97,54,74,381,4,58,52,-12.271103
2417,-97,42,74,382,5,58,53,-6.407639
2417,-97,51,75,381,4,57,52,-13.081024
2417,-97,36,73,382,5,57,51,-8.979401
2417,-97,57,74,381,5,58,51,-5.972641
2417,-97,38,73,382,4,58,51,-16.951691
2417,-97,46,75,381,3,59,54,-28.376709
2417,-97,51,74,381,5,58,51,-24.169800
2417,-97,50,74,381,4,58,52,-8.925018
2417,-97,39,74,382,3,58,52,-13.645248
2417,-97,48,74,381,4,58,52,-10.390167
2417,-97,46,73,383,5,58,52,-17.883606
2417,-97,38,73,383,5,58,52,-10.861649
2417,-97,53,75,381,5,59,54,-7.704605
2417,-97,47,74,382,4,59,53,-5.084854
2417,-97,38,74,382,3,58,52,-25.494194
2417,-97,45,74,381,4,56,51,-23.888748
2417,-97,39,73,383,6,57,51,-9.193359
2417,-97,74,74,381,4,58,52,-7.049774
2417,-97,50,75,381,5,59,53,-8.686096
2417,-97,45,74,381,6,59,52,-4.892426
2417,-97,43,74,381,4,58,52,-7.542908
2417,-97,43,75,381,4,58,52,-10.930397
2417,-97,37,74,382,3,57,51,-15.883667
2417,-97,42,73,383,5,59,52,-5.420090
2417,-97,32,73,382,5,57,51,-10.250450
2417,-97,40,74,382,5,58,52,-9.724640
2417,-97,47,74,381,4,58,52,-9.385666
2417,-97,60,74,381,5,58,53,-18.603096
2417,-97,70,76,379,5,58,54,-14.274986
2417,-97,50,75,381,3,57,52,-17.193466
2417,-97,28,73,382,4,59,51,-5.661423
2417,-97,44,74,382,5,57,52,-4.677322
2417,-97,60,73,382,4,58,50,-inf
2417,-97,38,72,383,4,59,51,-10.048340
2417,-97,47,75,381,4,59,53,-16.972961
2417,-97,49,73,383,5,58,52,-4.309921
2417,-97,32,72,384,5,58,50,-8.036278
2417,-97,48,74,382,3,57,52,-19.695129
2417,-97,41,73,382,4,57,51,-11.330727
2417,-97,55,76,380,4,58,54,-4.233543
2417,-97,37,73,382,5,58,51,-13.526154
2417,-97,34,73,383,5,59,51,-8.104813
2417,-97,63,75,381,2,58,53,-28.166153
2417,-97,58,75,381,5,59,52,-3.315582
2417,-97,43,74,381,5,58,52,-3.008766
2417,-97,58,76,380,5,59,55,-9.468414
2417,-97,34,74,381,6,59,52,-10.951530
2417,-97,41,75,381,4,59,53,-11.036392
2417,-97,56,75,381,4,58,53,-9.930878
2417,-97,37,74,382,5,58,52,-13.852356
2417,-97,37,73,383,3,57,50,-17.691132
2417,-97,32,73,383,5,57,51,-8.104813
2417,-97,51,76,379,5,59,55,-17.512329
2417,-97,51,75,381,5,59,53,-7.645287
2417,-97,52,73,382,5,59,52,-11.755493
2417,-97,55,73,383,6,57,51,-7.238708
2417,-97,52,75,380,4,58,53,-16.980667
2417,-97,36,74,381,4,58,52,-6.214439
2417,-97,53,75,381,5,59,53,-11.322548
2417,-97,50,74,381,5,58,52,-15.114288
2417,-97,41,73,383,5,58,51,-7.115952
2417,-97,37,74,382,4,59,53,-9.984222
2417,-97,37,72,383,6,59,50,-11.196991
2417,-97,41,74,382,4,59,52,-5.746078
2417,-97,49,74,381,4,58,52,-18.479736
2417,-97,35,73,382,5,58,52,-5.872307
2417,-97,42,75,381,2,60,54,-13.804184
2417,-97,31,73,383,4,59,51,-13.837448
2417,-97,50,76,380,3,58,54,-7.386421
2417,-97,40,74,382,4,57,51,-7.028954
2417,-97,48,73,382,3,56,50,-6.919487
2417,-97,39,74,382,4,58,53,-5.201233
2417,-97,36,75,381,4,58,53,-10.458633
2417,-97,43,74,382,5,59,52,-7.762062
2417,-97,35,74,381,4,58,52,-18.061508
2417,-97,53,76,380,4,59,55,-16.204132
2417,-97,32,74,381,2,60,53,-21.719910
2417,-97,50,74,381,5,59,53,-13.783066
2417,-97,33,73,382,6,59,51,-21.686386
2417,-97,45,73,383,4,59,52,-11.486969
2417,-97,44,73,383,4,59,52,-14.666153
2417,-97,33,74,382,4,59,53,-13.149582
2417,-97,40,75,381,5,58,53,-13.539261
2417,-97,39,74,382,3,58,53,-17.024063
2417,-97,35,74,381,4,58,52,-18.405495
